vat,issue_date,due_date,repayment_date,amount
CHE-110.229.427,01/21/2015,03/16/2015,03/15/2015,2187
CHE-108.367.756,01/22/2015,04/20/2015,04/18/2015,172702.72
CHE-113.165.735,01/23/2015,03/21/2015,03/24/2015,17654
CHE-291.904.523,01/24/2015,05/02/2015,04/30/2015,4280
CHE-100.044.756,01/25/2015,04/12/2015,04/11/2015,7497
CHE-115.092.487,01/25/2015,03/29/2015,03/27/2015,24233.5
CHE-388.258.667,01/26/2015,03/31/2015,03/28/2015,2407
CHE-102.754.082,01/27/2015,03/15/2015,03/16/2015,40435
CHE-135.974.416,01/30/2015,05/03/2015,05/01/2015,7281.35
CHE-115.471.861,02/01/2015,04/06/2015,04/03/2015,5489.5
CHE-106.934.629,02/01/2015,03/16/2015,03/13/2015,19487
CHE-388.258.667,02/03/2015,04/11/2015,04/09/2015,13414
CHE-105.901.109,02/04/2015,03/13/2015,03/04/2015,18591
CHE-115.608.621,02/05/2015,03/19/2015,03/07/2015,10750
CHE-135.974.416,02/06/2015,03/27/2015,04/09/2015,3830
CHE-327.777.809,02/06/2015,03/13/2015,03/26/2015,116701.64
CHE-225.821.568,02/06/2015,03/27/2015,03/24/2015,17345
CHE-484.751.831,02/07/2015,03/25/2015,03/20/2015,9336.4
CHE-216.731.683,02/07/2015,03/20/2015,03/17/2015,15276
CHE-108.925.353,02/07/2015,04/05/2015,03/06/2015,53261
CHE-175.829.419,02/09/2015,05/29/2015,05/28/2015,169338.35
CHE-109.224.918,02/12/2015,04/20/2015,04/07/2015,77588.4
CHE-147.717.330,02/14/2015,03/22/2015,03/20/2015,102059
CHE-114.927.443,02/17/2015,05/22/2015,05/15/2015,144170.45
CHE-108.793.257,02/17/2015,03/24/2015,03/23/2015,7533
CHE-185.846.241,02/20/2015,04/03/2015,04/02/2015,2444.9
CHE-388.735.979,02/28/2015,05/23/2015,,12103.2
CHE-431.568.615,03/01/2015,05/02/2015,04/26/2015,6523.15
CHE-291.904.523,03/02/2015,06/10/2015,06/09/2015,172621.55
CHE-388.258.667,03/03/2015,05/01/2015,04/28/2015,2837
CHE-273.147.077,03/04/2015,06/04/2015,06/02/2015,3651.9
CHE-291.904.523,03/05/2015,04/15/2015,04/12/2015,20895
CHE-431.568.615,03/06/2015,04/27/2015,05/05/2015,10604
CHE-115.092.487,03/08/2015,05/12/2015,05/15/2015,23724
CHE-102.754.082,03/08/2015,04/02/2015,04/04/2015,11100
CHE-112.813.187,03/10/2015,05/06/2015,,14422
CHE-110.229.427,03/12/2015,09/08/2015,09/08/2015,2164
CHE-135.974.416,03/12/2015,05/09/2015,05/07/2015,13193.4
CHE-108.925.353,03/12/2015,04/23/2015,04/24/2015,63785.5
CHE-115.471.861,03/13/2015,05/06/2015,05/03/2015,6666.5
CHE-103.635.820,03/13/2015,05/07/2015,,8184
CHE-325.933.806,03/15/2015,05/17/2015,05/09/2015,16264
CHE-110.229.427,03/15/2015,05/13/2015,05/09/2015,9074.35
CHE-229.836.440,03/17/2015,04/03/2015,04/01/2015,4281
CHE-135.974.416,03/21/2015,04/10/2015,04/08/2015,55107
CHE-115.608.621,03/23/2015,05/26/2015,05/25/2015,146353
CHE-273.147.077,03/24/2015,05/01/2015,04/19/2015,2815.12
CHE-115.016.483,03/25/2015,09/21/2015,09/21/2015,2736
CHE-114.722.987,03/26/2015,04/29/2015,04/25/2015,4220.4
CHE-109793.257,03/27/2015,05/21/2015,05/19/2015,12774
CHE-186.082.052,03/29/2015,05/26/2015,05/17/2015,7309.67
CHE-105.901.109,03/31/2015,09/27/2015,10/07/2015,4193
CHE-115.016.483,03/31/2015,06/13/2015,06/05/2015,47033.8
CHE-104.552.677,04/04/2015,06/03/2015,05/31/2015,11498.25
CHE-106.970.941,04/04/2015,05/24/2015,05/22/2015,5526.5
CHE-109.793.257,04/05/2015,07/12/2015,07/11/2015,121122.8
CHE-216.731.683,04/06/2015,05/11/2015,05/04/2015,24775.05
CHE-113.570.828,04/06/2015,05/01/2015,04/28/2015,6839
CHE-115.092.487,04/07/2015,06/05/2015,06/02/2015,5621.64
CHE-109.793.257,04/08/2015,05/14/2015,05/02/2015,6279
CHE-109.793.257,04/10/2015,07/17/2015,07/18/2015,166745.57
CHE-325.933.806,04/10/2015,07/10/2015,07/09/2015,4081.5
CHE-327.777.809,04/10/2015,07/06/2015,07/08/2015,6976.2
